Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,âˆšx (sx) error,Pauli-X error
0,5.088,-0.30783,0.0048,0.0048,0.0048,864.0,0.0002217,0.0002217,0.0002217
1,4.981,-0.30902,0.0021,0.0032,0.001,864.0,0.0001935,0.0001935,0.0001935
2,4.892,-0.3104,0.0213,0.0228,0.0198,864.0,0.0002969,0.0002969,0.0002969
3,4.944,-0.27711,0.0953,0.1026,0.088,864.0,0.00561,0.00561,0.00561
4,4.987,-0.32195,0.371,0.2824,0.4596,864.0,0.00127,0.00127,0.00127
5,4.882,-0.31039,0.0713,0.077,0.0656,864.0,0.0004856,0.0004856,0.0004856
6,4.969,-0.30806,0.0459,0.0504,0.0414,864.0,0.0003101,0.0003101,0.0003101
7,5.015,-0.30824,0.0177,0.0058,0.0296,864.0,0.0003106,0.0003106,0.0003106
8,5.111,-0.3073,0.0098,0.0128,0.0068,864.0,0.0004094,0.0004094,0.0004094
9,4.972,-0.30941,0.3143,0.3026,0.326,864.0,0.00543,0.00543,0.00543
10,4.876,-0.31036,0.1883,0.179,0.1976,864.0,0.0076,0.0076,0.0076
11,5.132,-0.30673,0.3054,0.2824,0.3284,864.0,0.00369,0.00369,0.00369
12,4.831,-0.31113,0.4919,0.8538,0.13,864.0,0.0007858,0.0007858,0.0007858
13,4.95,-0.30876,0.0496,0.0296,0.0696,864.0,0.0004118,0.0004118,0.0004118
14,4.995,-0.30886,0.0076,0.0092,0.006,864.0,0.0002049,0.0002049,0.0002049
15,5.118,-0.30738,0.0086,0.0104,0.0068,864.0,0.00264,0.00264,0.00264
16,4.918,-0.3091,0.0037,0.0064,0.001,864.0,0.0001607,0.0001607,0.0001607
17,5.003,-0.30763,0.0494,0.0648,0.034,864.0,0.0008008,0.0008008,0.0008008
18,4.865,-0.31125,0.0473,0.0512,0.0434,864.0,0.0002042,0.0002042,0.0002042
19,5.104,-0.30768,0.0024,0.0046,0.0002,864.0,0.0002154,0.0002154,0.0002154
20,4.902,-0.30965,0.0114,0.018,0.0048,864.0,0.0002482,0.0002482,0.0002482
21,5.04,-0.30739,0.0033,0.0054,0.0012,864.0,0.0003362,0.0003362,0.0003362
22,4.979,-0.30076,0.0145,0.0152,0.0138,864.0,0.0002443,0.0002443,0.0002443
23,5.033,-0.30851,0.0131,0.0218,0.0044,864.0,0.0003444,0.0003444,0.0003444
24,4.766,-0.30398,0.0377,0.0456,0.0298,864.0,0.00198,0.00198,0.00198
25,4.87,-0.31089,0.0089,0.0124,0.0054,864.0,0.0002315,0.0002315,0.0002315
26,4.999,-0.30886,0.0058,0.0092,0.0024,864.0,0.0002746,0.0002746,0.0002746
27,5.077,-0.30693,0.1083,0.1142,0.1024,864.0,0.000387,0.000387,0.000387
28,5.198,-0.30578,0.0069,0.007,0.0068,864.0,0.0002357,0.0002357,0.0002357
29,4.994,-0.30757,0.093,0.0932,0.0928,864.0,0.0003021,0.0003021,0.0003021
30,5.083,-0.30708,0.0035,0.0056,0.0014,864.0,0.0001825,0.0001825,0.0001825
31,5.129,-0.30656,0.0038,0.0052,0.0024,864.0,0.0003099,0.0003099,0.0003099
32,5.204,-0.30413,0.0061,0.0086,0.0036,864.0,0.000188,0.000188,0.000188
33,4.953,-0.30938,0.2944,0.3072,0.2816,864.0,0.0011,0.0011,0.0011
34,4.937,-0.30923,0.0106,0.013,0.0082,864.0,0.0003082,0.0003082,0.0003082
35,5.074,-0.30721,0.0091,0.0142,0.004,864.0,0.0003067,0.0003067,0.0003067
36,5.102,-0.30593,0.0061,0.008,0.0042,864.0,0.0004065,0.0004065,0.0004065
37,5.168,-0.30222,0.0305,0.0356,0.0254,864.0,0.00155,0.00155,0.00155
38,5.106,-0.30753,0.008,0.012,0.004,864.0,0.0002932,0.0002932,0.0002932
39,5.018,-0.30838,0.0158,0.0168,0.0148,864.0,0.0003481,0.0003481,0.0003481
40,5.163,-0.30613,0.0612,0.0616,0.0608,864.0,0.0003285,0.0003285,0.0003285
41,5.093,-0.30775,0.0761,0.0758,0.0764,864.0,0.0003483,0.0003483,0.0003483
42,4.925,-0.30938,0.02,0.0244,0.0156,864.0,0.0002207,0.0002207,0.0002207
43,5.033,-0.30812,0.0412,0.0334,0.049,864.0,0.0004956,0.0004956,0.0004956
44,5.116,-0.30753,0.0124,0.0236,0.0012,864.0,0.00122,0.00122,0.00122
45,4.88,-0.30948,0.0497,0.0556,0.0438,864.0,0.0002405,0.0002405,0.0002405
46,5.145,-0.30658,0.0025,0.005,0.0,864.0,0.0002331,0.0002331,0.0002331
47,5.001,-0.30885,0.0167,0.0196,0.0138,864.0,0.000429,0.000429,0.000429
48,4.934,-0.309,0.0578,0.025,0.0906,864.0,0.0001977,0.0001977,0.0001977
49,5.116,-0.30701,0.0021,0.003,0.0012,864.0,0.0001989,0.0001989,0.0001989
50,5.017,-0.30795,0.0955,0.053,0.138,864.0,0.0001866,0.0001866,0.0001866
51,5.209,-0.30446,0.005,0.0074,0.0026,864.0,0.0004682,0.0004682,0.0004682
52,5.016,-0.30785,0.0061,0.0118,0.0004,864.0,0.0004707,0.0004707,0.0004707
53,5.048,-0.30705,0.0563,0.0588,0.0538,864.0,0.00118,0.00118,0.00118
54,5.024,-0.30335,0.0136,0.016,0.0112,864.0,0.0002457,0.0002457,0.0002457
55,5.198,-0.30556,0.0025,0.0042,0.0008,864.0,0.0002392,0.0002392,0.0002392
56,5.188,-0.30564,0.0046,0.0064,0.0028,864.0,0.0002924,0.0002924,0.0002924
57,5.093,-0.30621,0.0078,0.011,0.0046,864.0,0.0002794,0.0002794,0.0002794
58,4.965,-0.30941,0.0467,0.0516,0.0418,864.0,0.0001654,0.0001654,0.0001654
59,5.019,-0.30794,0.0169,0.0176,0.0162,864.0,0.0003359,0.0003359,0.0003359
60,5.141,-0.30605,0.0237,0.0336,0.0138,864.0,0.0021,0.0021,0.0021
61,4.875,-0.3101,0.041,0.045,0.037,864.0,0.0002232,0.0002232,0.0002232
62,4.961,-0.30931,0.0152,0.0118,0.0186,864.0,0.0002069,0.0002069,0.0002069
63,5.045,-0.30798,0.0291,0.0142,0.044,864.0,0.0002225,0.0002225,0.0002225
64,5.258,-0.30505,0.0244,0.023,0.0258,864.0,0.0003489,0.0003489,0.0003489
65,5.101,-0.30611,0.0035,0.0068,0.0002,864.0,0.0002648,0.0002648,0.0002648
66,5.234,-0.29458,0.0172,0.025,0.0094,864.0,0.00223,0.00223,0.00223
67,4.912,-0.30058,0.0866,0.0934,0.0798,864.0,0.0002405,0.0002405,0.0002405
68,5.136,-0.30448,0.0076,0.0094,0.0058,864.0,0.0002653,0.0002653,0.0002653
69,4.944,-0.30828,0.0192,0.0156,0.0228,864.0,0.0005093,0.0005093,0.0005093
70,5.155,-0.30506,0.0067,0.011,0.0024,864.0,0.0002319,0.0002319,0.0002319
71,5.119,-0.31568,0.0827,0.0908,0.0746,864.0,0.000437,0.000437,0.000437
72,5.145,-0.3059,0.0064,0.01,0.0028,864.0,0.0001841,0.0001841,0.0001841
73,5.019,-0.30805,0.0385,0.019,0.058,864.0,0.0002013,0.0002013,0.0002013
74,4.874,-0.32062,0.0785,0.0908,0.0662,864.0,0.0001858,0.0001858,0.0001858
75,5.008,-0.30781,0.0089,0.0138,0.004,864.0,0.0002054,0.0002054,0.0002054
76,4.904,-0.31017,0.0043,0.0074,0.0012,864.0,0.0001681,0.0001681,0.0001681
77,5.071,-0.30801,0.0985,0.076,0.121,864.0,0.00222,0.00222,0.00222
78,5.277,-0.3036,0.002,0.0038,0.0002,864.0,0.0002642,0.0002642,0.0002642
79,5.017,-0.30802,0.0225,0.0134,0.0316,864.0,0.0004333,0.0004333,0.0004333
80,5.081,-0.30759,0.1155,0.1128,0.1182,864.0,0.0002014,0.0002014,0.0002014
81,4.945,-0.3096,0.0216,0.0248,0.0184,864.0,0.00277,0.00277,0.00277
82,5.08,-0.30778,0.0347,0.0334,0.036,864.0,0.0006665,0.0006665,0.0006665
83,5.052,-0.30815,0.0285,0.0382,0.0188,864.0,0.0012,0.0012,0.0012
84,4.909,-0.30897,0.0033,0.0064,0.0002,864.0,0.000295,0.000295,0.000295
85,5.092,-0.30693,0.0021,0.0038,0.0004,864.0,0.0001992,0.0001992,0.0001992
86,4.931,-0.30902,0.0063,0.0102,0.0024,864.0,0.0002084,0.0002084,0.0002084
87,5.195,-0.30516,0.015,0.0184,0.0116,864.0,0.0002578,0.0002578,0.0002578
88,5.097,-0.30661,0.0467,0.05,0.0434,864.0,0.0002323,0.0002323,0.0002323
89,4.958,-0.30863,0.0089,0.0158,0.002,864.0,0.0001675,0.0001675,0.0001675
90,5.256,-0.3033,0.0063,0.0102,0.0024,864.0,0.0003088,0.0003088,0.0003088
91,5.057,-0.30788,0.0175,0.0222,0.0128,864.0,0.0006099,0.0006099,0.0006099
92,5.124,-0.30626,0.0047,0.0088,0.0006,864.0,0.0005135,0.0005135,0.0005135
93,5.14,-0.30575,0.0026,0.0044,0.0008,864.0,0.0002233,0.0002233,0.0002233
94,5.176,-0.30523,0.0156,0.0184,0.0128,864.0,0.0003659,0.0003659,0.0003659
95,5.221,-0.30548,0.1848,0.1912,0.1784,864.0,0.0004672,0.0004672,0.0004672
96,5.142,-0.30586,0.045,0.0486,0.0414,864.0,0.000278,0.000278,0.000278
97,5.052,-0.30754,0.0084,0.0104,0.0064,864.0,0.0007007,0.0007007,0.0007007
98,5.122,-0.29461,0.034,0.037,0.031,864.0,0.00284,0.00284,0.00284
99,5.175,-0.30474,0.0708,0.0662,0.0754,864.0,0.00136,0.00136,0.00136
100,5.028,-0.30765,0.0182,0.0214,0.015,864.0,0.0002388,0.0002388,0.0002388
101,5.095,-0.30715,0.0194,0.0188,0.02,864.0,0.0002202,0.0002202,0.0002202
102,4.985,-0.30865,0.0058,0.0062,0.0054,864.0,0.0002031,0.0002031,0.0002031
103,5.227,-0.30411,0.1494,0.2964,0.0024,864.0,0.01237,0.01237,0.01237
104,5.135,-0.30632,0.0018,0.0034,0.0002,864.0,0.0002126,0.0002126,0.0002126
105,4.985,-0.30863,0.008,0.0096,0.0064,864.0,0.0001696,0.0001696,0.0001696
106,5.04,-0.30814,0.0088,0.0102,0.0074,864.0,0.0002331,0.0002331,0.0002331
107,5.122,-0.30525,0.0044,0.0058,0.003,864.0,0.0002507,0.0002507,0.0002507
108,5.254,-0.30352,0.0784,0.0788,0.078,864.0,0.0005577,0.0005577,0.0005577
109,4.973,-0.3249,0.469,0.246,0.692,864.0,1.0,1.0,1.0
110,5.292,-0.30295,0.0079,0.009,0.0068,864.0,0.0002294,0.0002294,0.0002294
111,5.191,-0.3056,0.003,0.0056,0.0004,864.0,0.0002196,0.0002196,0.0002196
112,5.215,-0.27862,0.0535,0.0534,0.0536,864.0,0.0005467,0.0005467,0.0005467
113,5.17,-0.30616,0.0227,0.021,0.0244,864.0,0.0002336,0.0002336,0.0002336
114,5.27,-0.30316,0.0882,0.0916,0.0848,864.0,0.00305,0.00305,0.00305
115,5.12,-0.30653,0.0127,0.0118,0.0136,864.0,0.0003112,0.0003112,0.0003112
116,5.017,-0.30771,0.0035,0.0068,0.0002,864.0,0.000182,0.000182,0.000182
117,5.234,-0.30379,0.002,0.003,0.001,864.0,0.0003228,0.0003228,0.0003228
118,5.114,-0.30676,0.0241,0.0036,0.0446,864.0,0.0002403,0.0002403,0.0002403
119,5.271,-0.30461,0.0063,0.0078,0.0048,864.0,0.0002124,0.0002124,0.0002124
120,5.084,-0.30669,0.0041,0.0056,0.0026,864.0,0.0002736,0.0002736,0.0002736
121,4.996,-0.30827,0.0129,0.0184,0.0074,864.0,0.0002771,0.0002771,0.0002771
122,5.269,-0.30324,0.0028,0.0054,0.0002,864.0,0.0002757,0.0002757,0.0002757
123,5.109,-0.30626,0.0041,0.0054,0.0028,864.0,0.00133,0.00133,0.00133
124,5.24,-0.29286,0.0146,0.0172,0.012,864.0,0.00102,0.00102,0.00102
125,5.037,-0.30725,0.0031,0.0058,0.0004,864.0,0.0002015,0.0002015,0.0002015
126,5.165,-0.30495,0.0048,0.0086,0.001,864.0,0.0002258,0.0002258,0.0002258
